id,title,authors,year,venue,venue_tier,publication_type,official_publication_url,official_pdf_url,arxiv_url,doi,code_url,project_url,abstract,keywords,task_categories,supervision,modality,setting,method_family,backbone,datasets,metrics,main_contributions,limitations,inclusion_reason,related_to_core_tas,pdf_downloaded,local_pdf_path,pdf_sha256,metadata_verified,verification_sources,verification_date,notes,needs_manual_review,review_reason
2026-cvpr-hierarchical-learning-weakly-supervised,Hierarchical Action Learning for Weakly-Supervised Action Segmentation,"[""Junxian Huang"", ""Ruichu Cai"", ""Juntao Fang"", ""Hao Zhu"", ""Boyan Xu"", ""Weilin Chen"", ""Zijian Li"", ""Shenghua Gao""]",2026,CVPR,CCF-A,conference,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Hierarchical_Action_Learning_for_Weakly-Supervised_Action_Segmentation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_Hierarchical_Action_Learning_for_Weakly-Supervised_Action_Segmentation_CVPR_2026_paper.pdf,,,,,"Humans perceive actions through key transitions that structure actions across multiple abstraction levels, whereas machines, relying on visual features, tend to over-segment. This highlights the difficulty of enabling hierarchical reasoning in video understanding. Interestingly, we observe that lower-level visual and high-level action latent variables evolve at different rates, with low-level visual variables changing rapidly, while high-level action variables evolve more slowly, making them easier to identify. Building on this insight, we propose the Hierarchical Action Learning (HAL) model for weakly-supervised action segmentation. Our approach introduces a hierarchical causal data generation process, where high-level latent action govern the dynamics of low-level visual features. To model these varying timescales effectively, we introduce deterministic processes to align these latent variables over time. The HAL model employs a hierarchical pyramid transformer to capture both visual features and latent variables, and a sparse transition constraint is applied to enforce the slower dynamics of high-level action variables. This mechanism enhances the identification of these latent variables over time. Under mild assumptions, we prove that these latent action variables are strictly identifiable. Experimental results on several benchmarks show that the HAL model significantly outperforms existing methods for weakly-supervised action segmentation, confirming its practical effectiveness in real-world applications.","[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""weakly-supervised""]","[""I3D-features""]","[""offline"", ""long-video""]","[""Transformer"", ""causal-model""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_CVPR_Huang_hierarchical_action_learning_for_weakly_supervised_acti.pdf,ad8676424a90b7a4a3c82974c54b1faf1db288f423546205012de4f7feaf2701,True,"[""https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Hierarchical_Action_Learning_for_Weakly-Supervised_Action_Segmentation_CVPR_2026_paper.html""]",2026-07-28,,False,
2026-cvpr-lady-lagrangian-dynamic-informed-network,LaDy: Lagrangian-Dynamic Informed Network for Skeleton-based Action Segmentation via Spatial-Temporal Modulation,"[""Haoyu Ji"", ""Xueting Liu"", ""Yu Gao"", ""Wenze Huang"", ""Zhihao Yang"", ""Weihong Ren"", ""Zhiyong Wang"", ""Honghai Liu""]",2026,CVPR,CCF-A,conference,https://openaccess.thecvf.com/content/CVPR2026/html/Ji_LaDy_Lagrangian-Dynamic_Informed_Network_for_Skeleton-based_Action_Segmentation_via_Spatial-Temporal_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ji_LaDy_Lagrangian-Dynamic_Informed_Network_for_Skeleton-based_Action_Segmentation_via_Spatial-Temporal_CVPR_2026_paper.pdf,,,,,"Skeleton-based Temporal Action Segmentation (STAS) aims to densely parse untrimmed skeletal sequences into frame-level action categories. However, existing methods, while proficient at capturing spatio-temporal kinematics, neglect the underlying physical dynamics that govern human motion. This oversight limits inter-class discriminability between actions with similar kinematics but distinct dynamic intents, and hinders precise boundary localization where dynamic force profiles shift. To address these, we propose the Lagrangian-Dynamic Informed Network (LaDy), a framework integrating principles of Lagrangian dynamics into the segmentation process. Specifically, LaDy first computes generalized coordinates from joint positions and then estimates Lagrangian terms under physical constraints to explicitly synthesize the generalized forces. To further ensure physical coherence, our Energy Consistency Loss enforces the work-energy theorem, aligning kinetic energy change with the work done by the net force. The learned dynamics then drive a Spatio-Temporal Modulation module: Spatially, generalized forces are fused with spatial representations to provide more discriminative semantics. Temporally, salient dynamic signals are constructed for temporal gating, thereby significantly enhancing boundary awareness. Experiments on challenging datasets show that LaDy achieves state-of-the-art performance, validating the integration of physical dynamics for action segmentation. Code is available at https://github.com/HaoyuJi/LaDy.","[""temporal action segmentation""]","[""Skeleton-based Temporal Action Segmentation""]","[""fully-supervised""]","[""skeleton""]","[""offline"", ""long-video""]","[""boundary-modeling""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_CVPR_Ji_lady_lagrangian_dynamic_informed_network_for_skeleton_b.pdf,7cf81c65f08a28e50b9047b3523c4f3b075c303fe0213abb6f82deba097213ce,True,"[""https://openaccess.thecvf.com/content/CVPR2026/html/Ji_LaDy_Lagrangian-Dynamic_Informed_Network_for_Skeleton-based_Action_Segmentation_via_Spatial-Temporal_CVPR_2026_paper.html""]",2026-07-28,,False,
2026-cvpr-polyphony-diffusion-based-dual-hand,Polyphony: Diffusion-based Dual-Hand Action Segmentation with Alternating Vision Transformer and Semantic Conditioning,"[""Hao Zheng"", ""Hu Wang"", ""Tiantian Zheng"", ""Prajjwal Bhattarai"", ""Tuka Alhanai""]",2026,CVPR,CCF-A,conference,https://openaccess.thecvf.com/content/CVPR2026/html/Zheng_Polyphony_Diffusion-based_Dual-Hand_Action_Segmentation_with_Alternating_Vision_Transformer_and_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zheng_Polyphony_Diffusion-based_Dual-Hand_Action_Segmentation_with_Alternating_Vision_Transformer_and_CVPR_2026_paper.pdf,,,,,"Dual-hand action segmentation, densely predicting actions for both hands from untrimmed videos, is essential for understanding complex bimanual activities. However, it poses several unique challenges: complex inter-hand dependencies, visual asymmetry between hands, representation conflicts where the dominant hand monopolizes gradients, and semantic ambiguity in fine-grained actions. We propose Polyphony, a three-stage method to address these challenges through: (1) an Alternating Dual-Hand Vision Transformer that alternates training between left- and right-hand mini-batches to ensure balanced gradient contributions from both hands while sharing a spatio-temporal encoder; (2) Semantic Feature Conditioning that aligns visual features with structured, compositional action descriptions to enhance discrimination of semantically similar actions; and (3) Diffusion-Based Segmentation with cross-hand feature fusion for inter-hand coordination and adaptive loss weighting for balancing performance. Polyphony achieves state-of-the-art on both dual-hand datasets (HA-ViD, ATTACH) with improvements up to 16.8 points, and on the single-stream Breakfast dataset (82.5%), outperforming the prior best method that uses a 12x larger backbone. Notably, our unified model with a single shared backbone surpasses baselines requiring separate per-hand models. Code is at https://github.com/x-labs-xyz/Polyphony-Dual-hand-Action-Segmentation.","[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""fully-supervised""]","[""I3D-features""]","[""offline"", ""long-video""]","[""Transformer"", ""diffusion""]",unknown,"[""Breakfast""]","[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_CVPR_Zheng_polyphony_diffusion_based_dual_hand_action_segmentation.pdf,37afbaba2ea4bd9b4e252182fc58f56b6354a993f049138f7548c2ee6914f75e,True,"[""https://openaccess.thecvf.com/content/CVPR2026/html/Zheng_Polyphony_Diffusion-based_Dual-Hand_Action_Segmentation_with_Alternating_Vision_Transformer_and_CVPR_2026_paper.html""]",2026-07-28,,False,
2026-cvpr-spectral-scalpel-amplifying-adjacent-discrepancy,Spectral Scalpel: Amplifying Adjacent Action Discrepancy via Frequency-Selective Filtering for Skeleton-Based Action Segmentation,"[""Haoyu Ji"", ""Bowen Chen"", ""Zhihao Yang"", ""Wenze Huang"", ""Yu Gao"", ""Xueting Liu"", ""Weihong Ren"", ""Zhiyong Wang"", ""Honghai Liu""]",2026,CVPR,CCF-A,conference,https://openaccess.thecvf.com/content/CVPR2026/html/Ji_Spectral_Scalpel_Amplifying_Adjacent_Action_Discrepancy_via_Frequency-Selective_Filtering_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ji_Spectral_Scalpel_Amplifying_Adjacent_Action_Discrepancy_via_Frequency-Selective_Filtering_for_CVPR_2026_paper.pdf,,,,,"Skeleton-based Temporal Action Segmentation (STAS) seeks to densely segment and classify diverse actions within long, untrimmed skeletal motion sequences. However, existing STAS methodologies face challenges of limited inter-class discriminability and blurred segmentation boundaries, primarily due to insufficient distinction of spatio-temporal patterns between adjacent actions. To address these limitations, we propose Spectral Scalpel, a frequency-selective filtering framework aimed at suppressing shared frequency components between adjacent distinct actions while amplifying their action-specific frequencies, thereby enhancing inter-action discrepancies and sharpening transition boundaries. Specifically, Spectral Scalpel employs adaptive multi-scale spectral filters as scalpels to edit frequency spectra, coupled with a discrepancy loss between adjacent actions serving as the surgical objective. This design amplifies representational disparities between neighboring actions, effectively mitigating boundary localization ambiguities and inter-class confusion. Furthermore, complementing long-term temporal modeling, we introduce a frequency-aware channel mixer to strengthen channel evolution by aggregating spectra across channels. This work presents a novel paradigm for STAS that extends conventional spatio-temporal modeling by incorporating frequency-domain analysis. Extensive experiments on five public datasets demonstrate that Spectral Scalpel achieves state-of-the-art performance. Code is available at https://github.com/HaoyuJi/SpecScalpel.","[""temporal action segmentation""]","[""Skeleton-based Temporal Action Segmentation""]","[""fully-supervised""]","[""skeleton""]","[""offline"", ""long-video""]","[""boundary-modeling""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_CVPR_Ji_spectral_scalpel_amplifying_adjacent_action_discrepancy.pdf,437cc9f5d13fc820ea16c73a3562ad22c433962a040c685f0d89b5c213649f80,True,"[""https://openaccess.thecvf.com/content/CVPR2026/html/Ji_Spectral_Scalpel_Amplifying_Adjacent_Action_Discrepancy_via_Frequency-Selective_Filtering_for_CVPR_2026_paper.html""]",2026-07-28,,False,
2026-cvpr-workshop-combining-boundary-supervision-segment-level,Combining Boundary Supervision and Segment-Level Regularization for Fine-Grained Action Segmentation,"[""Hinako Mitsuoka"", ""Kazuhiro Hotta""]",2026,CVPR Workshop,Extended-Vision,conference,https://openaccess.thecvf.com/content/CVPR2026W/SAUAFG/html/Mitsuoka_Combining_Boundary_Supervision_and_Segment-Level_Regularization_for_Fine-Grained_Action_Segmentation_CVPRW_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026W/SAUAFG/papers/Mitsuoka_Combining_Boundary_Supervision_and_Segment-Level_Regularization_for_Fine-Grained_Action_Segmentation_CVPRW_2026_paper.pdf,https://arxiv.org/abs/2604.01859,,,,unknown,"[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""fully-supervised""]","[""unknown""]","[""offline"", ""long-video""]","[""boundary-modeling""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_CVPRWorkshop_Mitsuoka_combining_boundary_supervision_and_segment_level_regula.pdf,c714861b4788d0bd2915815a3102e09d1f4b797081e9196d36ab78ea6ce22955,True,"[""https://openaccess.thecvf.com/content/CVPR2026W/SAUAFG/html/Mitsuoka_Combining_Boundary_Supervision_and_Segment-Level_Regularization_for_Fine-Grained_Action_Segmentation_CVPRW_2026_paper.html""]",2026-07-28,"Official workshop paper; kept in the extended list, not the main-conference core count.",False,
2026-icra-m2r2-multimodal-robotic-representation,M2R2: MultiModal Robotic Representation for Temporal Action Segmentation,"[""Daniel Sliwowski"", ""Dongheui Lee""]",2026,ICRA,Robotics-Embodied,conference,https://dsliwowski1.github.io/,https://arxiv.org/pdf/2504.18662,https://arxiv.org/abs/2504.18662,,,,unknown,"[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""fully-supervised""]","[""multimodal""]","[""offline"", ""embodied"", ""long-video""]","[""multimodal"", ""prototype-learning""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_ICRA_Sliwowski_m2r2_multimodal_robotic_representation_for_temporal_act.pdf,d31edcb34efe520ec78e4b9c536293daa282d04bfea05f0d6b213725b1c46c89,True,"[""https://dsliwowski1.github.io/""]",2026-07-28,,False,
2026-preprint-atlas-annotation-tool-long-horizon,ATLAS: An Annotation Tool for Long-horizon Robotic Action Segmentation,"[""Sergej Stanovcic"", ""Daniel Sliwowski"", ""Dongheui Lee""]",2026,Preprint,Preprint,preprint,,https://arxiv.org/pdf/2604.26637,https://arxiv.org/abs/2604.26637,,,,"Annotating long-horizon robotic demonstrations with precise temporal action boundaries is crucial for training and evaluating action segmentation and manipulation policy learning methods. Existing annotation tools, however, are often limited: they are designed primarily for vision-only data, do not natively support synchronized visualization of robot-specific time-series signals (e.g., gripper state or force/torque), or require substantial effort to adapt to different dataset formats. In this paper, we introduce ATLAS, an annotation tool tailored for long-horizon robotic action segmentation. ATLAS provides time-synchronized visualization of multi-modal robotic data, including multi-view video and proprioceptive signals, and supports annotation of action boundaries, action labels, and task outcomes. The tool natively handles widely used robotics dataset formats such as ROS bags and the Reinforcement Learning Dataset (RLDS) format, and provides direct support for specific datasets such as REASSEMBLE. ATLAS can be easily extended to new formats via a modular dataset abstraction layer. Its keyboard-centric interface minimizes annotation effort and improves efficiency. In experiments on a contact-rich assembly task, ATLAS reduced the average per-action annotation time by at least 6% compared to ELAN, while the inclusion of time-series data improved temporal alignment with expert annotations by more than 2.8% and decreased boundary error fivefold compared to vision-only annotation tools.","[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""fully-supervised""]","[""multimodal""]","[""offline"", ""long-video""]","[""boundary-modeling""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_Preprint_Stanovcic_atlas_an_annotation_tool_for_long_horizon_robotic_actio.pdf,d58694bb5a37af9609822aaf9bf369c4f832d2c7103978f9074ec1b2271957d7,False,"[""https://arxiv.org/abs/2604.26637""]",2026-07-28,"arXiv 2604.26637; first submitted 2026-04-29; last updated 2026-04-29; comment=7 pages, 2 figures, 2 tables; journal_ref=none. No formal conference proceedings placement has been verified.",True,Direct TAS arXiv hit; formal publication status requires first-party proceedings verification.
2026-preprint-adaptive-latent-trajectory-anchoring-dataset,Adaptive Latent Trajectory Anchoring for Action Segmentation Dataset Condensation,"[""Artheme Gauthier-Villar"", ""Guodong Ding"", ""Angela Yao""]",2026,Preprint,Preprint,preprint,,https://arxiv.org/pdf/2607.09081,https://arxiv.org/abs/2607.09081,,,,"Dataset condensation for action segmentation synthesizes compact, informative representations of long, untrimmed video datasets. The existing approach relies on Variational Autoencoders and an iterative latent optimization; it is computationally expensive and suffers from over-smoothed reconstructions and rigid temporal constraints. This paper proposes to shift the condensation paradigm from optimization-based inversion to deterministic latent mapping. By leveraging Denoising Diffusion Implicit Models, we represent action segments as continuous trajectories anchored by sparse latent points in the noise manifold. To maximize representational efficiency, we introduce an adaptive allocation mechanism that dynamically redistributes the anchoring budget based on segment-wise reconstruction difficulty. Extensive experiments demonstrate that our framework significantly outperforms state-of-the-art methods in segmentation performance across common datasets. Notably, our approach achieves performance parity with real data training while maintaining a condensation ratio of 2.4\% on Breakfast dataset.","[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""fully-supervised""]","[""unknown""]","[""offline"", ""long-video""]","[""diffusion"", ""dataset-condensation""]",unknown,"[""Breakfast""]","[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_Preprint_Gauthier-Villar_adaptive_latent_trajectory_anchoring_for_action_segment.pdf,47e2d1bce8792d0a66581c3f0a762250fe557d2e4942d5f794a93c52781c6a89,False,"[""https://arxiv.org/abs/2607.09081""]",2026-07-28,"arXiv 2607.09081; first submitted 2026-07-10; last updated 2026-07-10; comment=16 pages, 5 figures, accepted to ECCV 2026; journal_ref=none. No formal conference proceedings placement has been verified.",True,Direct TAS arXiv hit; formal publication status requires first-party proceedings verification.
2026-preprint-boundary-centric-clip-budgeted-active,Boundary-Centric Clip-Budgeted Active Learning for Temporal Action Segmentation,"[""Halil Ismail Helvaci"", ""Sen-ching Samson Cheung""]",2026,Preprint,Preprint,preprint,,https://arxiv.org/pdf/2604.15173,https://arxiv.org/abs/2604.15173,,,,"Temporal action segmentation (TAS) in untrimmed videos requires dense temporal supervision. However, most of the annotation cost is spent identifying action transitions where segmentation errors concentrate and small temporal shifts can disproportionately degrade segment-level metrics. We introduce B-ACT, a clip-budgeted active learning framework that explicitly allocates supervision to these error-prone boundary regions. B-ACT operates in a hierarchical two-stage loop: (i) it ranks and queries unlabeled videos using predictive uncertainty, and (ii) within each selected video, it detects candidate transitions from the current model predictions and selects the top-$K$ boundaries via a novel boundary score. The boundary score fuses neighborhood uncertainty, class ambiguity, and temporal prediction dynamics to reveal the underlying importance of each frame. Importantly, our annotation protocol requests labels only at the boundary frames while still training on boundary-centered clips to exploit temporal context through the model's receptive field. Extensive experiments on GTEA, 50Salads, and Breakfast demonstrate that boundary-centric supervision delivers strong label efficiency and consistently surpasses representative TAS active learning baselines and prior state of the art under sparse budgets. Gains are largest on datasets where performance is highly sensitive to boundary placement, as measured by edit and overlap-based F1 metrics.","[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""fully-supervised""]","[""unknown""]","[""offline"", ""long-video""]","[""boundary-modeling""]",unknown,"[""Breakfast"", ""50Salads"", ""GTEA""]","[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_Preprint_Helvaci_boundary_centric_clip_budgeted_active_learning_for_temp.pdf,812b9d3f95cf745ecd44b412324602c8c291e3e32a86477ee0323a85347af931,False,"[""https://arxiv.org/abs/2604.15173""]",2026-07-28,arXiv 2604.15173; first submitted 2026-04-16; last updated 2026-06-12; comment=none; journal_ref=none. No formal conference proceedings placement has been verified.,True,Direct TAS arXiv hit; formal publication status requires first-party proceedings verification.
2026-preprint-data-efficient-surgical-phase-small,Data-Efficient Surgical Phase Segmentation in Small-Incision Cataract Surgery: A Controlled Study of Vision Foundation Models,"[""Lincoln Spencer"", ""Song Wang"", ""Chen Chen""]",2026,Preprint,Preprint,preprint,,https://arxiv.org/pdf/2604.10514,https://arxiv.org/abs/2604.10514,,,,"Surgical phase segmentation is central to computer-assisted surgery, yet robust models remain difficult to develop when labeled surgical videos are scarce. We study data-efficient phase segmentation for manual small-incision cataract surgery (SICS) through a controlled comparison of visual representations. To isolate representation quality, we pair each visual encoder with the same temporal model (MS-TCN++) under identical training and evaluation settings on SICS-155 (19 phases). We compare supervised encoders (ResNet-50, I3D) against large self-supervised foundation models (DINOv3, V-JEPA2), and use a cached-feature pipeline that decouples expensive visual encoding from lightweight temporal learning. Foundation-model features improve segmentation performance in this setup, with DINOv3 ViT-7B achieving the best overall results (83.4% accuracy, 87.0 edit score). We further examine cataract-domain transfer using unlabeled videos and lightweight adaptation, and analyze when it helps or hurts. Overall, the study indicates strong transferability of modern vision foundation models to surgical workflow understanding and provides practical guidance for low-label medical video settings. The project website is available at: https://sl2005.github.io/DataEfficient-sics-phase-seg/","[""temporal action segmentation""]","[""Temporal Action Segmentation""]","[""self-supervised""]","[""I3D-features""]","[""offline"", ""long-video""]","[""unknown""]",unknown,[],"[""Edit"", ""F1@10"", ""F1@25"", ""F1@50"", ""frame accuracy""]",[],"[""See the original paper for scope and assumptions.""]",The paper predicts temporally dense action labels or contiguous semantic action segments and evaluates temporal segmentation.,True,True,library/pdfs/2026_Preprint_Spencer_data_efficient_surgical_phase_segmentation_in_small_inc.pdf,8736b16d08b887d090cc917f20ec701c3204d424bd905923ad1d09e4663541dd,False,"[""https://arxiv.org/abs/2604.10514""]",2026-07-28,arXiv 2604.10514; first submitted 2026-04-12; last updated 2026-04-12; comment=none; journal_ref=none. No formal conference proceedings placement has been verified.,True,Direct TAS arXiv hit; formal publication status requires first-party proceedings verification.
