paper_id,source_url,reason,checked_at
2023-preprint-casr-refining-marginalizing-frame-levle,https://arxiv.org/pdf/2311.12401,404 Client Error: Not Found for url: https://arxiv.org/pdf/2311.12401,2026-07-29T09:03:45.905753+00:00
2022-bmvc-robust-timestamp-supervision,https://bmvc2022.mpi-inf.mpg.de/0392.pdf,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2026-07-29T09:03:56.700703+00:00
2022-neurips-don-t-pour-cereal-into,https://openreview.net/pdf?id=PCQyUvAmKs,403 Client Error: Forbidden for url: https://openreview.net/pdf?id=PCQyUvAmKs,2026-07-29T09:04:09.195786+00:00
2021-aaai-relational-modeling-self-supervision,https://ojs.aaai.org/index.php/AAAI/article/download/16377/16184,"HTTPSConnectionPool(host='ojs.aaai.org', port=443): Max retries exceeded with url: /index.php/AAAI/article/download/16377/16184 (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:13.648402+00:00
2021-bmvc-asformer-transformer,https://www.bmvc2021-virtualconference.com/assets/papers/0578.pdf,"HTTPSConnectionPool(host='www.bmvc2021-virtualconference.com', port=443): Max retries exceeded with url: /assets/papers/0578.pdf (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:16.194395+00:00
2020-cvpr-intra-inter-understanding-parsing,https://openaccess.thecvf.com/content_CVPR_2020/papers/Shao_Intra-_and_Inter-Action_Understanding_via_Temporal_Action_Parsing_CVPR_2020_paper.pdf,"HTTPSConnectionPool(host='openaccess.thecvf.com', port=443): Max retries exceeded with url: /content_CVPR_2020/papers/Shao_Intra-_and_Inter-Action_Understanding_via_Temporal_Action_Parsing_CVPR_2020_paper.pdf (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:18.539566+00:00
2019-wacv-coupled-generative-adversarial-network-continuous,https://arxiv.org/pdf/1909.09283,"HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/1909.09283 (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:20.941110+00:00
2018-wacv-end-end-fine-grained-recognition,https://arxiv.org/pdf/1801.09571,"HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/1801.09571 (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:23.167098+00:00
2017-dicta-parsing-using-context-features,https://arxiv.org/pdf/2205.10008,"HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/2205.10008 (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:25.156342+00:00
2016-eccv-connectionist-modeling-weakly-supervised-labeling,https://www.ecva.net/papers/eccv_2016/papers_ECCV/papers/123560511.pdf,"HTTPSConnectionPool(host='www.ecva.net', port=443): Max retries exceeded with url: /papers/eccv_2016/papers_ECCV/papers/123560511.pdf (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:27.498751+00:00
2016-eccv-segmental-spatiotemporal-cnns-fine-grained,https://arxiv.org/pdf/1602.02995,"HTTPSConnectionPool(host='arxiv.org', port=443): Max retries exceeded with url: /pdf/1602.02995 (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1000)')))",2026-07-29T09:04:29.470652+00:00
